date,added,admins,attachments,direct_msgs,disabled,inactive,msgs_sent,owners,private_msgs,public_msgs
2015-03-30T00:00:00,23,2,13,28,0,0,1691,1,1,71
2015-04-06T00:00:00,9,2,10,35,0,0,730,1,2,63
2015-04-13T00:00:00,7,2,1,25,0,20,629,1,0,75
2015-04-20T00:00:00,8,2,4,14,0,20,807,1,4,82
2015-04-27T00:00:00,8,2,5,45,0,6,672,1,1,54
2015-05-04T00:00:00,0,2,9,32,0,7,952,1,9,59
2015-05-11T00:00:00,4,2,7,30,0,5,552,1,7,63
2015-05-18T00:00:00,7,2,2,37,0,8,538,1,12,51
2015-05-25T00:00:00,4,2,5,47,0,4,387,1,11,42
2015-06-01T00:00:00,5,2,1,37,0,5,413,1,4,59
2015-06-08T00:00:00,21,2,12,36,0,5,1610,1,26,38
2015-06-15T00:00:00,6,2,26,26,0,7,1088,1,41,33
2015-06-22T00:00:00,6,2,20,36,0,5,1008,1,25,39
2015-06-29T00:00:00,9,2,27,26,0,11,1209,1,35,39
2015-07-06T00:00:00,8,2,9,19,0,4,1281,1,17,64
2015-07-13T00:00:00,5,2,17,32,0,11,2373,1,45,23
2015-07-20T00:00:00,8,2,17,33,0,9,2896,1,49,18
2015-07-27T00:00:00,7,2,29,39,0,11,4528,1,43,18
2015-08-03T00:00:00,12,2,22,37,0,9,3705,1,43,20
2015-08-10T00:00:00,7,2,21,27,0,3,3036,1,57,16
2015-08-17T00:00:00,3,2,12,47,1,3,1007,1,18,35
2015-08-24T00:00:00,9,2,8,27,0,11,2561,1,22,51
2015-08-31T00:00:00,6,2,9,14,0,8,2530,1,31,55
2015-09-07T00:00:00,8,2,13,21,0,10,2465,1,21,58
2015-09-14T00:00:00,2,2,13,53,0,8,2327,1,5,42
2015-09-21T00:00:00,2,2,6,30,0,5,1100,1,14,56
2015-09-28T00:00:00,2,2,9,21,0,13,1220,1,37,42
2015-10-05T00:00:00,5,2,18,31,0,8,1395,1,14,55
2015-10-12T00:00:00,3,2,17,28,0,3,2319,1,13,59
2015-10-19T00:00:00,6,2,16,16,0,3,1967,1,23,61
2015-10-26T00:00:00,2,2,12,11,0,6,1468,1,17,72
2015-11-02T00:00:00,10,2,20,23,1,3,4610,1,21,56
2015-11-09T00:00:00,5,2,14,29,1,6,2598,1,13,58
2015-11-16T00:00:00,5,2,17,19,0,3,2183,1,8,73
2015-11-23T00:00:00,4,2,6,32,0,10,633,1,11,57
2015-11-30T00:00:00,2,2,18,10,0,8,1476,1,25,65
2015-12-07T00:00:00,5,2,25,23,0,6,3837,1,51,26
2015-12-14T00:00:00,6,2,23,27,0,6,2544,1,29,44
2015-12-21T00:00:00,0,2,14,32,0,6,972,1,50,18
2015-12-28T00:00:00,0,2,17,23,0,5,774,1,5,72
2016-01-03T00:00:00,0,2,20,14,0,4,2665,1,65,21
2016-01-10T00:00:00,5,2,22,30,0,3,2552,1,33,37
2016-01-17T00:00:00,10,2,45,25,0,3,4027,1,21,54
2016-01-24T00:00:00,7,2,35,21,0,0,4354,1,15,64
2016-01-31T00:00:00,11,2,25,34,0,3,3243,1,13,53
2016-02-07T00:00:00,4,2,32,38,0,10,2399,1,13,49
2016-02-14T00:00:00,10,2,45,30,0,4,2766,1,8,62
2016-02-21T00:00:00,8,2,34,24,0,6,4619,1,8,68
2016-02-28T00:00:00,9,2,45,33,0,6,4490,1,6,61
2016-03-06T00:00:00,9,3,79,26,0,13,6590,1,5,69
2016-03-12T00:00:00,11,3,58,22,1,6,5401,1,6,72
2016-03-20T00:00:00,8,3,37,30,0,6,3841,1,9,61
2016-03-27T00:00:00,4,3,52,13,0,10,7372,1,13,74
